x,y,z,real,imag,mag
6,15,-12,6.50359e-32,0,4.22967e-63
8,15,-12,-1.63063e-32,0,2.65895e-64
10,15,-12,6.72105e-32,0,4.51726e-63
12,15,-12,4.65088e-32,0,2.16307e-63
14,15,-12,3.30531e-32,0,1.09251e-63
16,15,-12,1.22719e-32,0,1.506e-64
18,15,-12,7.10683e-33,0,5.0507e-65
-18,15,-9,4.19631e-32,0,1.7609e-63
-16,15,-9,5.30562e-32,0,2.81496e-63
-14,15,-9,9.967e-32,0,9.9341e-63
-12,15,-9,8.40847e-32,0,7.07024e-63
-10,15,-9,1.20689e-31,0,1.45657e-62
-8,15,-9,1.01658e-31,0,1.03344e-62
-6,15,-9,1.14863e-31,0,1.31935e-62
-4,15,-9,1.61323e-31,0,2.60251e-62
-2,15,-9,1.87172e-31,0,3.50334e-62
0,15,-9,1.59737e-31,0,2.55158e-62
2,15,-9,1.60399e-31,0,2.57278e-62
4,15,-9,1.68594e-31,0,2.8424e-62
6,15,-9,1.044e-31,0,1.08994e-62
8,15,-9,1.55442e-31,0,2.41622e-62
10,15,-9,8.14042e-32,0,6.62664e-63
12,15,-9,6.46153e-32,0,4.17514e-63
14,15,-9,4.29251e-32,0,1.84256e-63
16,15,-9,3.33438e-32,0,1.11181e-63
18,15,-9,1.40118e-32,0,1.96331e-64
-18,15,-6,3.20405e-32,0,1.02659e-63
-16,15,-6,9.20939e-32,0,8.48129e-63
-14,15,-6,8.72753e-32,0,7.61697e-63
-12,15,-6,1.38396e-31,0,1.91534e-62
-10,15,-6,1.42581e-31,0,2.03293e-62
-8,15,-6,1.80464e-31,0,3.25672e-62
-6,15,-6,1.73913e-31,0,3.02459e-62
-4,15,-6,2.1938e-31,0,4.81274e-62
-2,15,-6,2.40279e-31,0,5.77342e-62
0,15,-6,2.52211e-31,0,6.36103e-62
2,15,-6,2.2354e-31,0,4.99701e-62
4,15,-6,2.09904e-31,0,4.40598e-62
6,15,-6,2.16968e-31,0,4.70752e-62
8,15,-6,1.52633e-31,0,2.32967e-62
10,15,-6,8.50402e-32,0,7.23184e-63
12,15,-6,1.31721e-31,0,1.73503e-62
14,15,-6,2.21164e-32,0,4.89135e-64
16,15,-6,3.03741e-32,0,9.22584e-64
18,15,-6,4.13608e-32,0,1.71072e-63
-18,15,-3,9.87017e-32,0,9.74203e-63
-16,15,-3,8.43593e-32,0,7.11649e-63
-14,15,-3,1.40062e-31,0,1.96173e-62
-12,15,-3,1.57878e-31,0,2.49255e-62
-10,15,-3,1.76146e-31,0,3.10274e-62
-8,15,-3,2.13762e-31,0,4.56942e-62
-6,15,-3,2.25935e-31,0,5.10466e-62
-4,15,-3,2.89577e-31,0,8.38551e-62
-2,15,-3,2.96323e-31,0,8.78076e-62
0,15,-3,2.94244e-31,0,8.65793e-62
2,15,-3,3.15451e-31,0,9.95096e-62
4,15,-3,2.35232e-31,0,5.53339e-62
